"word","value"
"aahh",-3
"aamiin",2
"ab",3
"aba",2
"aba-aba",-3
"abadi",4
"abah",3
"abai",-3
"abaikan",-2
"abar-abar",-5
"abdi negara",-3
"abg",-2
"abi",2
"abid",3
"abis",1
"abis",-2
"abnormalitas",-4
"abolisi",-3
"abon",-4
"aborsi",-3
"absen",-3
"abses",-4
"absorpsi",3
"absorpsi",-1
"absurd",3
"absurd",-2
"abu",3
"abu",-2
"abu-abu",-2
"abuk",-3
"abur",-5
"acak",-5
"acak-acakan",-5
"acau",-4
"aco-acoan",-5
"acoan",-5
"acu",-4
"acuh tak acuh",4
"acuh tak acuh",-3
"ada",4
"ada",-3
"adab",3
"adakala",3
"adang",-3
"adaptasi",2
"addict",-3
"adegan",-4
"adek",1
"adek",-1
"adi",2
"adika",5
"adiktif",-4
"adil",4
"adil",-3
"adiluhung",3
"adimarga",-4
"administrator",3
"adon",-4
"adu",-3
"aduh",1
"aduh",-3
"aduhai",4
"aduk",-3
"adzan",3
"afair",3
"afdal",3
"afeksi",2
"afeksi",-2
"afiliasi",2
"afiliasi",-4
"afirmasi",3
"agam",5
"agama",-3
"agar",-3
"agen",-3
"agen rahasia",-3
"Ahad",3
"ahli agama",1
"ahli bahasa",-3
"ahmak",-3
"aib",1
"aib",-5
"aiku",-5
"ain",-5
"air",-1
"air liur",-2
"aja",1
"ajak",1
"ajakan",1
"ajakan",-3
"ajal",3
"ajal",-4
"ajang",-3
"ajar",1
"ajar",-3
"aji",4
"aji",-3
"ajojing",3
"aju",-3
"ajudan",4
"ajuk",-5
"akar",2
"akar",-3
"akas",2
"akas",-2
"akhlak",4
"akibat",1
"akibat",-3
"akidah",3
"akidah",-3
"akik",-3
"akil",4
"akomodasi",3
"akrab",3
"akreditasi",-3
"aksa",-4
"akses",2
"aksi",2
"aksioma",-3
"aktif",2
"aktif",-3
"aktivasi",2
"aktual",4
"aku",2
"aku",-1
"akuan",3
"akuan",-3
"akumah",-3
"akunya",-1
"akut",-5
"alah",-4
"alahan",-3
"alai-belai",-3
"alaikum",2
"alam",2
"alam",-1
"alami",-3
"alamiah",2
"alamiah",-3
"alangkah",4
"alangkah",-2
"alat kelamin",-3
"alat negara",-3
"alat vital",-2
"alay",-4
"album",3
"album",-2
"albumnya",-2
"alergi",-3
"alhamdulilah",3
"alhamdulillah",5
"aliansi",1
"aliansi",-4
"alih generasi",4
"alim",2
"alim arif",4
"alir udara",-1
"aliran udara",-1
"alkisah",-4
"alku",-5
"allah",5
"alobar",-4
"alone",-3
"alot",1
"alpa",-3
"alur",-4
"amah",-5
"amal",4
"amalan",4
"amanah",5
"amandel",-5
"amarah",-5
"amat",4
"amat sangat",-3
"amatin",-2
"ambai",-5
"ambalan",-4
"ambau",-5
"ambigu",-3
"ambiguitas",-5
"ambil",-5
"ambilan",3
"ambisi",4
"amblas",-3
"ambles",-4
"ambruk",-5
"amburadul",-5
"amerta",3
"ametis",-4
"amin",3
"amin",-3
"amit",-4
"amor",2
"amor",-4
"amoral",-3
"ampai",-4
"ampas",-3
"ampas (kopi)",3
"ampas (kopi)",-2
"ampas kopi",-2
"ampel",-3
"ampela",-5
"amplop",3
"ampu",-5
"ampun",1
"ampun",-3
"ampuni",-2
"amtenar",-3
"amuk",1
"amuk",-5
"ana",2
"ana",-3
"anak",-3
"anak-anakan",-3
"anak Adam",3
"anak air",-4
"anak bawang",-2
"anak bedil",-3
"anak bukit",-4
"anak cucu",-3
"anak didik",3
"anak penak",-3
"anak pinak",-3
"anak sasian",3
"anak sekolah",3
"anakan",5
"analisis",4
"analitis",-4
"anarki",-4
"ancai",-5
"ancam",-4
"ancaman",-4
"anda",-1
"Anda",-4
"andai",2
"andal",5
"andal",-1
"andeka",-3
"andil",4
"andini",2
"andur",3
"aneh",4
"aneh",-4
"aneka",3
"anekdot",2
"anekdot",-4
"angan",3
"angan-angan",4
"anggai",-3
"anggapan",3
"anggar",3
"anggara",-4
"anggota",-3
"angguk",1
"anggur",-4
"angguran",-4
"angin lalu",-5
"angit",-5
"angkat",3
"angkat tangan",-5
"angkat topi",-4
"angkatan",-5
"angkot",-1
"angkup",-3
"angkut",1
"anglo",-4
"angpau",4
"angsur",1
"aniaya",-4
"animo",4
"anjak",-3
"anjay",-3
"anjeng",-5
"anjer",-3
"anjg",-5
"anjing",-4
"anjing tanah",-5
"anjir",1
"anjir",-3
"anjis",-1
"anjlok",-4
"anjung",4
"anjungan",-3
"anjur",-2
"anjuran",-2
"anom",-4
"ansar",4
"antagonisme",-4
"antap",-5
"antek",-3
"antem",-4
"anteng",4
"anti",-2
"antipati",2
"antipati",-3
"antisipasi",3
"antisipasi",-1
"antitesis",-3
"antologi",1
"antuk",-4
"antun",-3
"antusias",2
"antusias",-3
"antusiasme",3
"anu",-3
"anugerah",3
"anugerah",-1
"anut",2
"anut",-3
"anyar",4
"anyir",-4
"apa",-3
"apaan",-4
"apalah",-2
"apanya",-3
"aparat",-3
"aparatus",-3
"apas",5
"apas",-3
"apasi",-3
"apasih",-4
"apatis",1
"apatis",-5
"apek",-4
"apes",-5
"api",4
"api",-2
"api-api",-4
"apit",-3
"apiun",-3
"apkir",-4
"apkiran",-4
"aplikasi",-4
"arabika",2
"arah",1
"arah",-4
"arahan",-3
"arak",2
"aram",-3
"arbitrer",-5
"arca",-3
"argumen",-4
"arif",4
"arik",-3
"arketipe",3
"armada",-5
"arsip",-5
"arsitektur",2
"arti",1
"artian",3
"artifisial",3
"artikel",-4
"artis",2
"artistik",4
"artistik",-2
"aru",-5
"aru-aru",-4
"arung",1
"arus udara",-4
"asa",3
"asa",-2
"asah",-3
"asah asih asuh",2
"asak",-3
"asal-asalan",-5
"asal usul",-4
"asam",-2
"asan tak asan",-5
"asasi",3
"asasi",-3
"asfal",-5
"asid",-5
"asih",3
"asih",-1
"asik",4
"asket",2
"asketisme",2
"asli",2
"asmara",2
"asmara",-4
"asoi",3
"asor",-5
"asosiasi",3
"asosiasi",-4
"aspek",-3
"aspiran",-5
"asrama",3
"asri",4
"asri",-3
"assalamualaikum",3
"astaga",3
"astaga",-4
"astagfirullah",3
"astagfirullah",-4
"astagfirulloh",-4
"astaghfirullah",-3
"asuh",3
"asuh",-2
"asumsi",-3
"asusila",-5
"aswad",-4
"atas",-4
"atasan",3
"atensi",2
"ati",-1
"atom",3
"atraktif",4
"atraktif",-2
"atresia",-3
"atribut",-3
"atuh",-1
"atur",4
"atur",-4
"atut",-2
"aur",-3
"aurat",-2
"aus",-5
"auta",-4
"autentik",3
"awa-",-3
"awal",2
"awal",-2
"awan kelabu",-3
"awas",4
"awas",-3
"awat",5
"awet",4
"awi",-3
"awur",-4
"awut",-4
"awut-awutan",-5
"aya",3
"ayahanda",1
"ayal",-3
"ayat",-4
"ayo",4
"ayun",1
"ayun",-3
"ayunan",3
"ayunan",-3
"azab",-5
"azamat",4
"azimat",1
"azimat",-4
"aziz",2
"bab",-4
"babak",-4
"babar",-1
"babaran",3
"babe",3
"babi",-4
"babil",-4
"bablas",-5
"babu",-5
"baby",2
"baca",3
"baca",-1
"bacar mulut",-4
"bacok",-4
"bacot",3
"bacot",-4
"bad",-4
"badai",-4
"badan",-3
"badmood",-4
"badung",-4
"bagaimana pun",-2
"bagak",5
"bagal",-3
"bagas",5
"bagi",2
"bagi",-4
"bagian",-4
"baginda",2
"baginda",-3
"bagus",2
"bagus",-4
"bagusan",2
"bah",-3
"bahadur",5
"bahaduri",4
"bahagia",4
"bahagia",-1
"bahala",-3
"bahan",-3
"bahas",2
"bahasa",-4
"bahasan",1
"bahaya",-5
"bahlul",-5
"bahtera",-3
"baiat",-3
"baik",3
"baik",-1
"baik-baik",3
"baik-baik",-1
"baiklah",2
"baiknya",1
"bain",3
"bain",-2
"bait",-3
"bajak",-4
"bajik",4
"bajing",1
"bajing",-5
"baju",2
"bakar",1
"bakar",-3
"bakat",4
"bakat",-1
"bakh",4
"bakir",4
"baksis",2
"baktau",-5
"bakti",4
"baku",1
"baku",-3
"bala",-5
"bala bencana",-5
"balai",-3
"balairung",-3
"balas",1
"balas",-3
"balasan",3
"balela",-4
"bales",-3
"balesnya",-2
"balik",-3
"balik adab",-5
"balik akal",-4
"balik gagang",-5
"balkon",-3
"balung",-4
"balur",-4
"bambu",-3
"bambung",-3
"banal",-3
"banat",-4
"bancang",-5
"banci",-5
"bandang",-4
"bandar",-4
"bandel",-5
"banding",3
"banding",-3
"bandit",-5
"bando",-4
"bandung",-1
"bangan",2
"bangan",-3
"bangang",-3
"bangbung",-4
"banget",1
"bangett",-2
"bangga",3
"bangkai",-4
"bangkang",-4
"bangkit",2
"bangkit",-4
"bangkit selera",3
"bangkot",-4
"bangkrut",-5
"bangle",-4
"bangsal",-3
"bangsat",-5
"bangsawan",2
"bangsawan",-3
"banjir",4
"banjir",-4
"bantah",-3
"bantah-bantah",5
"bantai",-5
"bantalan",3
"bantar",-4
"banteng",-3
"bantet",-3
"banting",1
"banting",-3
"bantu",3
"bantu",-4
"bantuin",3
"banyak",3
"banyak",-3
"banyak akal",3
"banyak bicara",-3
"banyak cakap",-4
"banyak cincong",-4
"banyak mulut",-4
"banyak omong",-4
"banyaknya",3
"banyol",-3
"banyolan",3
"bapa",3
"bapanda",3
"bapang",3
"baper",1
"baper",-4
"baperan",-4
"bapet",-4
"bara",2
"bara",-3
"barbar",-5
"bareng",3
"bareng",-3
"baret",-3
"baring",2
"barkas",-5
"barua",-5
"barut",-3
"barzakh",-4
"basi",-5
"baskom",-4
"basmi",-5
"bastar",-2
"batal",-5
"batalion",-5
"batang",-4
"batas",-3
